Cond,MPEmo_01,MPEmo_02,MPInt_01,MPInt_02,MPCog_01,MPCog_02,MPCog_01_rev,ArtworkEval_01_P1,ArtworkEval_02_P1,ArtworkEval_03_P1,ArtworkEval_04_P1,ArtworkEval_05_P1,ArtworkEval_06_P1,PercInf_01_P1,PercInf_02_P1,PercInf_03_P1,ArtworkEval_01_P2,ArtworkEval_02_P2,ArtworkEval_03_P2,ArtworkEval_04_P2,ArtworkEval_05_P2,ArtworkEval_06_P2,PercInf_01_P2,PercInf_02_P2,PercInf_03_P2,Import_Creativity,Import_DetTexture,Import_BrushSkill,Import_AestSignificance,AIBetter_1_01,AIBetter_1_02,YoB,G_M1_F2,Race,Race_6_TEXT,Country,ArtLiteracy_1,ArtLiteracy_2,ArtLiteracy_3,ComEfficacy_1,ComEfficacy_2,ComEfficacy_3,AIAttitude_01,AIAttitude_02,AIAttitude_03_rev
AIWin,1,1,5,5,4,4,5,4,4,5,5,4,4,4,3,4,5,4,3,3,4,4,5,4,3,5,4,4,4,0,0,1979,1,1,,United States,5,5,5,5,1,5,4,4,2
AIWin,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,3,3,2,2,2,2,2,2,2,5,5,5,5,1,0,1974,1,6,hispanic,US,4,4,5,4,2,4,3,3,3
AIWin,1,1,4,5,2,2,4,2,5,5,2,4,4,2,2,2,4,4,2,2,2,2,2,2,4,4,3,4,2,1,1,1994,2,1,,USA,1,1,1,4,1,4,1,1,2
AIWin,4,4,4,3,2,3,4,2,3,4,3,2,3,4,4,3,4,5,2,5,4,2,4,5,3,3,4,2,5,0,1,1974,2,1,,USA,4,3,4,4,5,3,5,3,2
AIWin,3,4,5,4,3,4,5,4,5,5,3,3,4,4,4,4,5,3,3,4,4,5,4,4,3,3,4,4,5,1,0,1990,1,"1,2,3,4,5",,maryland,3,4,5,5,4,3,4,5,3
AIWin,1,1,4,4,4,1,5,5,4,5,4,4,5,5,4,5,4,4,2,2,2,3,4,2,4,4,5,5,4,0,0,1953,2,1,,United States,4,3,4,4,1,4,2,2,4
AIWin,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,3,3,3,4,3,4,4,0,0,1972,1,3,,usa,5,4,4,4,3,4,3,3,3
AIWin,2,3,3,5,4,4,4,2,4,1,4,3,3,4,1,5,1,4,3,2,4,3,2,5,3,3,5,4,3,1,0,1990,1,1,,UNITED STATE,4,2,5,3,5,2,3,4,4
AIWin,4,3,4,3,5,4,4,3,4,4,5,4,5,3,3,4,3,5,3,4,3,4,4,4,3,4,3,3,4,0,1,1961,1,1,,USA,3,4,5,4,3,4,4,3,4
AIWin,1,1,5,5,2,5,5,5,5,5,4,5,5,3,3,3,5,5,4,3,3,2,2,2,3,5,5,5,5,0,0,1982,1,3,,USA,2,2,1,5,1,4,3,3,2
AIWin,3,4,5,4,4,3,4,3,4,4,4,5,5,4,4,3,2,2,3,4,3,2,3,3,2,5,3,4,4,1,1,1993,1,2,,America,4,3,4,4,3,4,3,4,3
AIWin,4,4,3,5,,2,5,4,4,5,3,5,5,2,3,4,4,5,3,5,4,2,4,2,3,2,4,3,5,0,1,1992,1,1,,UNITED STATES,4,5,3,3,4,5,5,5,4
AIWin,3,4,4,3,3,4,4,4,4,4,3,2,3,4,3,3,4,3,3,3,2,3,2,3,2,4,4,5,5,1,1,1993,1,2,,America,4,3,4,5,1,5,4,3,2
AIWin,4,3,5,4,5,4,5,4,5,5,5,4,4,5,5,4,5,5,3,5,4,4,4,4,5,5,4,4,5,1,1,1994,2,1,,USA,5,4,5,5,4,5,5,4,5
AIWin,2,2,4,5,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,1983,1,2,,America,5,5,5,5,1,5,5,5,1
AIWin,3,4,5,4,4,5,5,5,3,5,4,5,4,3,4,4,5,4,3,3,3,5,4,4,4,4,5,3,4,1,1,1992,1,1,,US,4,3,4,4,5,5,5,4,4
AIWin,2,1,4,4,1,2,5,4,4,4,2,3,2,2,2,2,4,3,4,2,3,2,2,2,2,5,2,2,4,1,1,1982,1,1,,United States,2,2,4,5,2,4,3,2,3
AIWin,4,3,4,4,3,5,1,4,1,3,3,4,5,4,2,5,3,2,1,3,1,1,1,2,2,5,3,4,2,1,1,1991,2,2,,USA,2,3,1,4,1,4,5,3,2
AIWin,4,4,3,5,3,4,4,4,4,5,3,5,4,4,4,3,4,3,3,4,3,3,4,3,3,5,3,4,4,1,1,1988,1,1,,USA,4,5,4,4,5,4,4,5,4
AIWin,1,1,2,4,3,2,3,3,4,5,3,3,2,5,2,2,4,4,4,3,4,3,5,2,4,3,3,3,3,1,0,1986,2,1,,United Kingdom,4,3,2,4,2,4,4,2,3
AIWin,1,1,4,4,1,2,5,4,3,4,3,4,3,4,2,2,4,3,2,3,3,2,3,1,2,4,2,2,3,0,0,1989,1,1,,UK,3,2,4,4,1,4,4,4,2
AIWin,1,1,5,4,5,5,1,5,5,5,5,5,5,5,5,3,5,4,1,2,1,1,5,1,1,5,5,5,4,1,1,1973,2,1,,USA,4,2,1,5,1,5,5,5,1
AIWin,5,4,5,4,4,4,4,4,5,4,3,5,4,4,4,4,4,3,4,4,5,4,5,4,4,5,4,4,4,1,1,1988,1,1,,usa,4,5,4,4,4,5,4,4,5
AIWin,3,3,4,4,4,4,2,4,3,4,4,4,4,4,3,4,4,3,3,4,3,3,4,2,4,4,4,2,3,0,1,1990,1,3,,U.S.A.,4,4,3,4,1,4,4,4,3
AIWin,3,5,3,4,1,4,2,3,2,3,1,3,5,4,5,1,4,3,4,2,3,1,3,1,5,4,3,2,1,1,1,1991,1,"1,2",,NOT,3,1,4,4,2,5,3,1,4
AIWin,1,1,1,1,1,1,5,4,4,4,4,4,4,4,4,3,5,3,4,4,4,3,5,4,5,5,4,4,4,0,0,1977,1,1,,United States,2,2,3,5,1,5,5,4,1
AIWin,1,1,1,1,1,1,5,4,4,4,4,3,5,3,2,1,1,1,1,1,1,1,1,1,1,3,4,4,5,0,0,1962,2,1,,United States,1,1,1,4,3,4,1,1,1
AIWin,1,1,4,1,1,1,2,4,4,4,4,4,4,4,3,3,5,2,2,3,5,3,3,3,4,4,2,2,4,1,0,1983,1,1,,USA,5,5,5,5,1,5,5,5,1
AIWin,5,5,3,4,3,4,4,2,3,4,4,3,3,3,5,3,3,2,3,4,5,4,5,2,4,5,3,3,4,1,1,1987,1,1,,United States,5,3,2,3,4,5,4,3,3
AIWin,1,1,5,5,1,1,5,3,4,5,1,5,4,4,4,4,4,1,5,5,4,3,3,3,3,5,3,5,5,0,1,1980,1,2,,USA,5,5,4,5,1,5,5,5,1
AIWin,1,5,1,3,4,3,5,1,4,1,1,4,3,1,1,4,4,1,2,3,3,2,4,4,5,1,4,3,3,1,0,1995,1,1,,USA,4,4,4,3,5,4,3,4,4
AIWin,5,5,5,4,5,4,4,4,4,5,4,4,5,5,5,4,5,5,4,5,5,4,4,4,5,5,5,4,5,1,1,1970,2,1,,CA,5,4,5,4,5,4,5,4,5
AIWin,1,1,5,5,1,4,5,4,4,5,4,4,4,3,3,3,4,3,5,4,4,4,2,2,3,5,3,5,4,1,0,1987,1,1,,USA,2,1,5,5,1,5,3,2,4
AIWin,4,4,5,5,3,5,4,5,5,4,3,3,5,4,4,5,5,3,4,4,5,4,3,3,4,5,5,5,5,0,1,1987,1,1,,USA,4,5,4,4,4,5,4,4,4
AIWin,3,2,2,1,2,4,1,2,4,5,2,4,2,2,5,2,3,4,4,5,3,2,4,2,2,4,5,4,3,1,1,1990,1,1,,USA,3,3,3,5,1,5,3,3,3
AIWin,1,1,4,2,1,1,5,4,4,5,4,4,3,2,2,2,4,2,1,1,2,1,1,1,1,4,4,4,3,0,0,1940,1,1,,USA,4,2,5,5,1,5,4,4,2
AIWin,4,3,3,4,2,4,5,4,4,1,3,3,4,4,3,2,4,3,2,5,4,4,2,3,4,4,4,3,5,0,1,1969,1,1,,USA,4,2,3,4,4,2,4,3,4
AIWin,2,1,4,5,3,4,4,5,4,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,4,4,4,4,0,0,1979,2,1,,United States,5,5,2,5,1,5,1,1,4
AIWin,3,5,3,4,2,5,4,5,3,3,4,3,3,2,4,4,4,4,3,2,5,3,2,4,3,4,5,3,4,0,1,1960,2,1,,USA,3,4,5,5,4,3,4,3,4
AIWin,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,3,3,1,1,1974,2,"2,5",,United States,5,4,2,4,2,4,5,5,4
AIWin,1,1,2,5,2,2,1,5,5,4,5,5,4,4,5,5,2,3,2,3,2,2,2,3,2,5,4,4,4,1,1,1985,1,3,,USA,4,4,4,5,4,5,3,3,4
AIWin,1,1,4,1,1,1,5,3,4,5,2,4,4,3,2,3,2,2,1,1,1,1,4,1,1,4,3,3,5,0,0,1975,2,1,,USA,4,2,4,2,4,2,1,1,5
AIWin,2,1,4,2,2,3,2,4,2,1,4,2,3,3,1,5,2,2,4,2,2,4,2,4,5,4,2,2,3,1,0,1983,1,2,,American,2,3,2,4,2,1,2,4,2
AIWin,1,1,5,5,1,1,3,5,5,5,5,5,5,5,3,5,1,1,1,1,1,1,1,1,1,5,5,4,4,1,1,1997,2,1,,United States,2,1,5,5,1,5,3,3,3
AIWin,1,1,5,5,1,4,3,5,5,5,5,5,5,4,3,4,4,5,5,2,4,5,2,3,2,5,5,5,5,0,0,1989,1,1,,United States,5,4,5,5,1,5,4,4,3
AIWin,2,2,4,5,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,0,1,1946,2,1,,USA,4,5,5,5,1,5,5,5,1
AIWin,1,1,1,1,1,1,5,5,4,5,5,5,4,5,4,4,5,4,4,5,5,5,5,4,5,5,3,3,4,0,0,1981,1,1,,USA,5,5,5,5,1,5,5,5,1
AIWin,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1974,2,1,,usa,3,3,3,3,3,3,3,3,3
AIWin,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,3,2,2,2,2,2,2,2,2,4,4,4,5,0,0,1994,2,1,,USA,5,5,5,5,1,5,3,3,3
AIWin,5,4,2,2,4,5,3,1,3,2,4,4,4,3,2,5,2,3,3,3,4,4,2,5,4,3,2,5,4,1,0,1990,1,1,,USA,4,4,4,5,1,3,3,4,5
AIWin,1,1,1,1,1,1,5,4,5,5,4,4,3,2,2,3,1,1,1,1,1,1,1,1,1,4,3,3,4,0,0,1989,1,1,,United States,3,5,5,2,5,1,1,1,4
AIWin,5,4,4,3,4,5,3,3,5,3,4,3,5,5,4,4,4,5,4,4,4,5,4,5,5,4,4,4,5,1,1,1987,1,2,,CA,4,5,4,4,3,4,3,4,5
AIWin,2,3,5,4,4,3,2,4,4,5,4,4,5,5,4,5,4,4,3,3,3,4,4,3,4,5,4,4,4,0,0,1957,2,1,,United States ,4,5,3,4,2,4,3,4,4
AIWin,5,2,4,4,4,4,1,5,4,4,5,5,5,5,5,4,2,2,1,2,1,2,2,2,2,5,4,5,5,1,1,1965,1,2,,USA,2,4,4,4,1,4,4,4,1
AIWin,1,1,5,5,1,1,5,5,5,5,5,5,5,4,3,5,5,5,5,3,5,4,4,4,5,5,3,4,5,0,0,1978,2,1,,USA,4,2,1,5,1,5,3,4,2
AIWin,1,1,5,4,1,1,5,4,4,5,2,4,4,3,2,2,5,5,4,4,4,4,5,4,5,5,1,2,3,0,0,1975,2,1,,USA,5,5,4,5,1,5,2,1,1
AIWin,1,1,1,1,1,1,5,4,4,4,3,3,4,3,3,4,5,3,5,4,5,5,4,2,4,5,4,4,4,0,0,1950,2,1,,usa,5,4,1,4,1,2,1,1,3
AIWin,2,2,2,4,2,2,5,5,4,5,5,4,5,4,5,4,5,2,4,4,2,2,4,2,2,3,3,3,3,0,1,1950,1,1,,United States,1,1,4,4,3,4,2,4,4
AIWin,1,1,1,1,1,1,5,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,1,0,1996,1,1,,USA,5,3,4,4,1,4,3,3,4
AIWin,2,3,3,3,2,4,2,3,4,2,4,5,3,4,4,4,2,4,3,3,2,3,3,3,2,4,3,4,4,1,0,1987,1,1,,usa,2,3,3,2,4,3,2,4,2
AIWin,4,5,4,4,4,3,3,4,5,4,3,4,4,4,4,3,4,5,5,3,3,4,4,3,4,4,3,4,4,1,1,1997,2,"1,2,3,4,5",,TX,4,3,4,5,3,4,4,4,4
AIWin,2,2,3,4,2,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,0,1,1967,2,3,,USA,4,4,2,4,2,4,4,3,2
AIWin,1,1,4,4,3,1,5,5,5,5,4,5,3,3,3,3,4,3,3,2,2,2,2,2,1,5,3,3,4,0,0,1970,2,1,,USA,5,5,5,5,1,5,3,3,3
AIWin,4,2,2,3,4,2,4,4,4,5,4,4,4,4,4,4,2,2,1,2,2,2,2,2,2,4,2,3,4,0,0,1967,1,3,,USA,4,2,4,5,1,5,4,4,1
AIWin,1,2,5,5,3,5,4,4,5,5,4,5,4,4,2,3,5,3,1,2,2,2,4,2,4,5,5,5,5,1,1,1994,2,3,,United States,4,4,4,5,1,5,3,3,4
AIWin,1,1,2,2,1,2,5,3,5,4,2,1,2,2,2,2,3,1,1,1,1,2,1,1,1,5,5,5,5,1,1,1974,1,1,,USA,2,2,5,5,1,5,5,5,1
AIWin,1,2,4,4,4,3,2,4,3,5,4,3,4,4,2,5,4,2,3,2,2,3,4,2,4,5,3,3,4,1,0,1970,1,1,,Canada,4,3,2,4,1,4,4,4,2
AIWin,1,1,4,3,2,1,1,4,4,5,4,3,3,2,2,3,4,3,4,2,2,2,4,3,2,4,4,5,5,0,1,1985,2,3,,United States,2,2,2,4,2,4,4,3,2
AIWin,2,2,4,3,3,2,2,3,5,4,4,3,4,4,2,2,4,3,3,2,3,2,2,2,4,3,4,3,4,1,0,1978,2,1,,United States,4,4,2,4,3,4,5,2,2
AIWin,2,2,4,2,3,4,4,4,4,4,3,3,3,3,2,2,4,2,2,2,2,2,3,1,2,3,4,4,4,1,1,1996,1,2,,United States,1,2,1,5,1,4,4,4,3
AIWin,1,1,5,5,2,1,3,5,5,5,4,5,5,3,5,5,5,3,3,3,4,3,5,3,3,5,3,3,3,0,0,1967,1,2,,usa,5,5,5,5,1,5,3,3,1
AIWin,1,1,2,3,1,2,5,3,2,4,2,3,2,2,3,4,4,2,4,3,3,3,4,2,4,3,2,2,2,0,0,1981,1,1,,United States,5,5,4,4,2,4,3,4,2
AIWin,1,1,1,1,1,1,4,5,5,5,4,5,4,5,3,5,4,2,4,4,3,2,4,2,4,4,4,4,3,1,0,1983,1,2,,United States,4,4,3,4,2,5,4,4,5
AIWin,1,1,4,3,2,1,4,5,4,4,3,3,3,4,4,4,4,4,3,2,3,3,4,2,3,4,2,3,4,1,0,1956,1,1,,United States,4,3,2,3,4,2,3,4,3
AIWin,1,1,2,2,1,1,5,5,5,5,5,5,5,5,5,5,3,3,3,4,3,2,3,4,4,4,4,4,5,0,1,2000,1,1,,United States,4,4,5,4,2,4,4,4,2
AIWin,2,3,4,4,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,3,3,4,1,1,1985,1,1,,United Kingdom,4,3,4,4,3,4,4,3,4
AIWin,1,2,4,4,2,2,4,4,5,3,2,4,3,4,3,4,4,2,2,1,3,1,2,2,2,5,2,3,4,0,0,1962,2,1,,United States,4,3,2,2,4,3,2,3,4
AIWin,5,3,4,3,3,5,5,5,3,3,4,3,5,5,4,5,3,4,5,3,5,5,4,5,3,3,5,4,5,0,1,1986,1,2,,Florida,5,4,5,3,5,4,4,4,5
AIWin,3,4,4,3,3,2,3,4,3,3,3,3,4,4,4,3,4,3,4,3,3,4,4,3,4,4,4,3,2,1,1,1975,2,1,,Wisconsin,4,3,3,4,3,4,4,4,3
AIWin,4,3,4,3,5,5,4,3,5,4,3,4,4,5,5,4,3,3,4,5,4,3,5,4,4,3,4,5,4,1,1,1985,1,1,,US,4,5,4,5,4,3,3,4,5
AIWin,1,1,4,4,1,1,5,3,2,4,3,4,3,4,2,3,4,4,3,3,3,4,4,2,4,5,4,4,4,1,0,1981,2,1,,United States,5,5,5,4,3,2,2,3,2
AIWin,1,1,4,4,1,1,5,5,5,5,4,5,4,4,1,4,4,4,4,2,2,2,4,1,4,5,3,5,5,0,0,1958,2,1,,United States,5,4,5,4,1,5,4,1,1
AIWin,1,1,5,5,1,1,5,5,5,5,5,5,4,3,3,3,5,4,4,2,3,3,4,3,4,5,3,4,3,0,0,1986,1,2,,United States,4,4,4,5,5,5,5,5,5
AIWin,1,1,4,5,1,1,5,1,4,5,2,1,4,2,2,3,5,3,2,2,1,2,4,2,4,5,5,5,5,1,1,1988,1,1,,United States,4,4,1,5,1,5,3,4,1
